CLIENT_ID,TIME,FIRST_COURSE,SECOND_COURSE,THIRD_COURSE
ID063527,LUNCH,0.0,22.314750481514654,10.106080949238294
ID951225,DINNER,0.0,28.779586533740634,0.0
ID655745,LUNCH,0.0,43.52903184274973,10.914995161448132
ID381194,DINNER,3.4277719343623763,23.04601704587982,16.27553215581243
ID660862,DINNER,0.0,25.8280309122399,0.0
ID575620,DINNER,0.0,26.08999532493257,0.0
ID024460,LUNCH,20.765425752884976,44.03697870190482,10.129406119113536
ID790244,DINNER,3.36713048334458,11.165328126490635,0.0
ID026785,LUNCH,20.98328824246427,42.00218993375722,0.0
ID224820,LUNCH,0.0,28.626820336885533,10.55449048917902
ID449728,LUNCH,15.451465382907465,23.950847018364872,11.863388524875006
ID635844,DINNER,4.584742854433445,9.527832629928248,0.0
ID695679,DINNER,0.0,28.00455503578488,0.0
ID187106,DINNER,0.0,28.298637902701543,0.0
ID159407,DINNER,4.3209121249581495,13.892237478626061,0.0
ID974473,LUNCH,0.0,25.826395286657853,11.276784758771658
ID480696,LUNCH,0.0,27.450536984335265,0.0
ID192486,LUNCH,21.985511835724072,40.93347224341205,11.743769523701205
ID917843,DINNER,0.0,29.38489893081664,0.0
ID628893,LUNCH,0.0,43.56433501187372,11.781595168998836
ID062317,DINNER,4.666970227068052,11.664537843674385,0.0
ID040802,LUNCH,0.0,27.0022938616626,0.0
ID574867,LUNCH,0.0,27.414403685107953,0.0
ID609959,DINNER,0.0,26.903684067599503,0.0
ID688221,DINNER,21.3215117298032,23.854602393492346,10.032201240797798
ID334254,LUNCH,4.748985813850644,20.974774629049467,11.384240387467255
ID424937,DINNER,0.0,25.28471665890307,0.0
ID882988,LUNCH,4.80029279737853,23.403772803234016,11.495692254063005
ID832951,DINNER,3.0937746483948483,10.957986406265984,0.0
ID713496,LUNCH,21.615722502706475,43.46709346031007,10.470949999681666
ID137092,DINNER,0.0,26.689768173652787,0.0
ID207970,LUNCH,0.0,29.063792308419696,0.0
ID535300,DINNER,4.090005673996221,11.280700022973859,0.0
ID539466,LUNCH,16.701628861847134,29.24059885419305,10.70993211861864
ID151134,DINNER,3.150269178048699,11.043077057349878,0.0
ID247332,DINNER,15.447518102959325,21.33605092471668,10.873629621364472
ID521904,LUNCH,0.0,44.365415642335854,0.0
ID697557,DINNER,20.650685072571555,43.305102624048146,11.068483469685347
ID375289,LUNCH,0.0,27.716111897373672,0.0
ID640505,LUNCH,4.666369419200606,28.695636784666053,10.509584609298
ID507526,DINNER,21.898826360534663,23.510205814263404,11.738363457001498
ID669178,DINNER,0.0,25.445943970943336,0.0
ID111406,LUNCH,0.0,28.416427012177248,0.0
